,0
1252,9
1253,25
1254,17
1255,14
1256,11
1257,19
1258,8
1259,20
1260,19
1261,23
1262,2
1263,18
1264,10
1265,17
1266,22
1267,17
1268,14
1269,1
1270,19
1271,14
1272,1
1273,19
1274,0
1275,27
1276,7
1277,1
1278,6
1279,12
1280,4
1281,24
1282,23
1283,7
1284,20
1285,17
1286,5
1287,17
1288,13
1289,6
1290,10
1291,19
1292,26
1293,29
1294,19
1295,7
1296,13
1297,16
1298,12
1299,22
1300,27
1301,14
1302,3
1303,28
1304,9
1305,17
1306,21
1307,12
1308,20
1309,24
1310,20
1311,13
1312,24
1313,17
1314,28
1315,9
1316,3
1317,10
1318,22
1319,27
1320,28
1321,1
1322,7
1323,29
1324,29
1325,12
1326,14
1327,23
1328,1
1329,21
1330,12
1331,5
1332,23
1333,22
1334,1
1335,0
1336,27
1337,3
1338,0
1339,0
1340,9
1341,1
1342,5
1343,7
1344,3
1345,25
1346,20
1347,1
1348,22
1349,26
1350,9
1351,7
1352,27
1353,0
1354,7
1355,20
1356,27
1357,7
1358,8
1359,21
1360,21
1361,27
1362,27
1363,27
1364,13
1365,11
1366,19
1367,7
1368,6
1369,25
1370,2
1371,21
1372,19
1373,17
1374,29
1375,26
1376,24
1377,27
1378,22
1379,28
1380,23
1381,27
1382,27
1383,19
1384,0
1385,21
1386,25
1387,5
1388,28
1389,13
1390,24
1391,25
1392,27
1393,7
1394,2
1395,25
1396,20
1397,18
1398,25
1399,11
1400,19
1401,26
1402,28
1403,0
1404,12
1405,6
1406,20
1407,2
1408,28
1409,0
1410,4
1411,24
1412,0
1413,0
1414,11
1415,12
1416,7
1417,29
1418,17
1419,19
1420,15
1421,5
1422,0
1423,23
1424,24
1425,22
1426,24
1427,18
1428,21
1429,3
1430,11
1431,26
1432,28
1433,23
1434,8
1435,13
1436,20
1437,0
1438,29
1439,17
1440,10
1441,3
1442,6
1443,27
1444,8
1445,22
1446,9
1447,20
1448,10
1449,17
1450,23
1451,5
1452,17
1453,27
1454,9
1455,0
1456,5
1457,9
1458,7
1459,17
1460,23
1461,2
1462,6
1463,29
1464,23
1465,0
1466,27
1467,27
1468,7
1469,10
1470,4
1471,24
1472,25
1473,22
1474,24
1475,17
1476,3
1477,22
1478,15
1479,13
1480,9
1481,16
1482,15
1483,3
1484,23
1485,2
1486,19
1487,17
1488,1
1489,2
1490,22
1491,10
1492,9
1493,23
1494,15
1495,16
1496,4
1497,8
1498,12
1499,21
1500,15
1501,5
1502,20
1503,26
1504,24
1505,24
1506,0
1507,12
1508,1
1509,24
1510,6
1511,25
1512,28
1513,11
1514,24
1515,3
1516,29
1517,22
1518,25
1519,26
1520,5
1521,11
1522,22
1523,11
1524,1
1525,20
1526,24
1527,1
1528,7
1529,11
1530,15
1531,16
1532,1
1533,17
1534,25
1535,6
1536,10
1537,11
1538,1
1539,1
1540,25
1541,7
1542,22
1543,7
1544,16
1545,24
1546,23
1547,25
1548,11
1549,25
1550,23
1551,29
1552,13
1553,24
1554,11
1555,21
1556,22
1557,15
1558,29
1559,9
1560,24
1561,19
1562,0
1563,27
1564,15
1565,28
1566,20
1567,27
1568,13
1569,9
1570,19
1571,4
1572,15
1573,22
1574,20
1575,24
1576,20
1577,24
1578,26
1579,10
1580,4
1581,28
1582,18
1583,29
1584,0
1585,28
1586,18
1587,20
1588,19
1589,22
1590,3
1591,3
1592,25
1593,16
1594,2
1595,24
1596,25
1597,7
1598,6
1599,6
1600,23
1601,23
1602,12
1603,20
1604,20
1605,17
1606,7
1607,18
1608,0
1609,7
1610,0
1611,20
1612,21
1613,16
1614,16
1615,22
1616,6
1617,12
1618,22
1619,29
1620,16
1621,20
1622,2
1623,13
1624,2
1625,20
1626,13
1627,24
1628,8
1629,17
1630,20
1631,20
1632,19
1633,2
1634,27
1635,17
1636,12
1637,23
1638,11
1639,17
1640,2
1641,13
1642,23
1643,27
1644,16
1645,2
1646,23
1647,20
1648,24
1649,5
1650,21
1651,0
1652,17
1653,7
1654,11
1655,23
1656,7
1657,9
1658,19
1659,3
1660,19
1661,1
1662,15
1663,7
1664,26
1665,3
1666,15
1667,1
1668,23
1669,10
1670,17
1671,0
1672,6
1673,7
1674,29
1675,2
1676,24
1677,9
1678,7
1679,2
1680,4
1681,27
1682,17
1683,13
1684,24
1685,20
1686,1
1687,17
1688,7
1689,18
1690,12
1691,6
1692,24
1693,16
1694,27
1695,27
1696,0
1697,0
1698,25
1699,25
1700,17
1701,7
1702,15
1703,18
1704,0
1705,7
1706,0
1707,10
1708,9
1709,2
1710,6
1711,23
1712,19
1713,7
1714,22
1715,19
1716,16
1717,23
1718,27
1719,10
1720,7
1721,2
1722,27
1723,23
1724,15
1725,29
1726,20
1727,9
1728,24
1729,12
1730,13
1731,20
1732,17
1733,10
1734,23
1735,23
1736,8
1737,18
1738,14
1739,24
1740,7
1741,25
1742,24
1743,24
1744,28
1745,22
1746,21
1747,28
1748,27
1749,2
1750,11
1751,22
1752,0
1753,27
1754,25
1755,4
1756,29
1757,17
1758,18
1759,17
1760,14
1761,6
1762,3
1763,5
1764,27
1765,20
1766,6
1767,25
1768,24
1769,19
1770,9
1771,3
1772,9
1773,13
1774,9
1775,13
1776,0
1777,1
1778,16
1779,22
1780,24
1781,17
1782,20
1783,0
1784,11
1785,20
1786,13
1787,23
1788,9
1789,2
1790,6
1791,0
1792,13
1793,24
1794,8
1795,0
1796,0
1797,14
1798,11
1799,13
1800,3
1801,3
1802,7
1803,13
1804,12
1805,18
1806,1
1807,7
1808,20
1809,4
1810,10
1811,2
1812,24
1813,4
1814,19
1815,28
1816,3
1817,0
1818,17
1819,7
1820,7
1821,1
1822,17
1823,18
1824,23
1825,21
1826,13
1827,4
1828,17
1829,8
1830,14
1831,20
1832,20
1833,20
1834,8
1835,10
1836,6
1837,7
1838,20
1839,2
1840,3
1841,15
1842,29
1843,10
1844,2
1845,9
1846,19
1847,13
1848,18
1849,7
1850,13
1851,7
1852,1
1853,17
1854,12
1855,7
1856,16
1857,23
1858,5
1859,29
1860,20
1861,25
1862,2
1863,10
1864,4
1865,15
1866,7
1867,7
1868,0
1869,21
1870,14
1871,11
1872,3
1873,1
1874,5
1875,20
1876,15
1877,18
1878,17
1879,12
1880,27
1881,10
1882,25
1883,20
1884,9
1885,23
1886,12
1887,26
1888,1
1889,24
1890,26
1891,1
1892,28
1893,25
1894,4
1895,2
1896,23
1897,1
1898,12
1899,15
1900,21
1901,27
1902,19
1903,17
1904,25
1905,5
1906,6
1907,10
1908,16
1909,19
1910,22
1911,5
1912,18
1913,23
1914,24
1915,0
1916,20
1917,25
1918,13
1919,15
1920,4
1921,20
1922,0
1923,0
1924,13
1925,7
1926,20
1927,7
1928,9
1929,22
1930,2
1931,7
1932,7
1933,17
1934,29
1935,20
1936,0
1937,6
1938,3
1939,20
1940,21
1941,24
1942,24
1943,11
1944,17
1945,15
1946,2
1947,26
1948,28
1949,20
1950,23
1951,6
1952,20
1953,26
1954,6
1955,19
1956,0
1957,26
1958,9
1959,25
1960,12
1961,12
1962,8
1963,28
1964,23
1965,27
1966,9
1967,19
1968,0
1969,17
1970,21
1971,25
1972,4
1973,22
1974,19
1975,14
1976,1
1977,27
1978,28
1979,12
1980,17
1981,2
1982,16
1983,17
1984,20
1985,29
1986,20
1987,28
1988,29
1989,15
1990,12
1991,7
1992,28
1993,27
1994,22
1995,2
1996,18
1997,17
1998,25
1999,29
2000,4
2001,10
2002,20
2003,9
2004,29
2005,28
2006,15
2007,20
2008,24
2009,23
2010,8
2011,5
2012,24
2013,7
2014,1
2015,15
2016,11
2017,19
2018,0
2019,4
2020,3
2021,6
2022,9
2023,17
2024,26
2025,25
2026,0
2027,11
2028,0
2029,29
2030,9
2031,0
2032,13
2033,23
2034,11
2035,12
2036,5
2037,2
2038,20
2039,12
2040,8
2041,22
2042,1
2043,17
2044,1
2045,27
2046,27
2047,9
2048,26
2049,17
2050,17
2051,12
2052,0
2053,1
2054,7
2055,17
2056,3
2057,0
2058,25
2059,23
2060,11
2061,23
2062,23
2063,20
2064,13
2065,28
2066,1
2067,13
2068,10
2069,21
2070,19
2071,18
2072,2
2073,10
2074,29
2075,0
2076,18
2077,18
2078,27
2079,5
2080,27
2081,17
2082,5
2083,8
2084,7
2085,27
2086,9
2087,24
2088,2
2089,7
2090,15
2091,10
2092,18
2093,23
2094,13
2095,19
2096,17
2097,5
2098,11
2099,19
2100,19
2101,19
2102,22
2103,9
2104,11
2105,27
2106,20
2107,0
2108,0
2109,21
2110,3
2111,19
2112,27
2113,20
2114,29
2115,8
2116,15
2117,6
2118,0
2119,5
2120,1
2121,18
2122,20
2123,8
2124,19
2125,9
2126,25
2127,4
2128,7
2129,11
2130,12
2131,18
2132,0
2133,7
2134,4
2135,17
2136,26
2137,9
2138,4
2139,20
2140,9
2141,28
2142,9
2143,19
2144,1
2145,19
2146,7
2147,25
2148,24
2149,4
2150,9
2151,2
2152,13
2153,13
2154,4
2155,24
2156,22
2157,15
2158,0
2159,4
2160,23
2161,19
2162,15
2163,13
2164,19
2165,2
2166,22
2167,20
2168,22
2169,1
2170,26
2171,22
2172,20
2173,17
2174,23
2175,1
2176,27
2177,1
2178,12
2179,7
2180,17
2181,22
2182,3
2183,19
2184,27
2185,29
2186,9
2187,0
2188,2
2189,15
2190,7
2191,4
2192,19
2193,3
2194,23
2195,25
2196,10
2197,27
2198,20
2199,9
2200,20
2201,4
2202,1
2203,23
2204,1
2205,7
2206,16
2207,14
2208,26
2209,21
2210,16
2211,17
2212,9
2213,21
2214,5
2215,3
2216,26
2217,1
2218,29
2219,9
2220,13
2221,6
2222,27
2223,21
2224,15
2225,28
2226,7
2227,1
2228,10
2229,5
2230,20
2231,23
2232,12
2233,17
2234,15
2235,21
2236,20
2237,0
2238,27
2239,0
2240,24
2241,9
2242,22
2243,24
2244,6
2245,12
2246,6
2247,15
2248,26
2249,13
2250,0
2251,10
2252,27
2253,3
2254,27
2255,6
2256,17
2257,5
2258,7
2259,15
2260,18
2261,13
2262,18
2263,7
2264,23
2265,1
2266,5
2267,10
2268,4
2269,23
2270,15
2271,12
2272,13
2273,9
2274,24
2275,28
2276,18
2277,20
2278,3
2279,12
2280,0
2281,7
2282,7
2283,20
2284,29
2285,29
2286,24
2287,23
2288,20
2289,9
2290,1
2291,4
2292,13
2293,0
2294,9
2295,10
2296,17
2297,6
2298,22
2299,18
2300,9
2301,17
2302,2
2303,10
2304,29
2305,10
2306,11
2307,1
2308,23
2309,21
2310,0
2311,11
2312,2
2313,3
2314,12
2315,29
2316,23
2317,18
2318,15
2319,29
2320,26
2321,1
2322,13
2323,17
2324,7
2325,18
2326,13
2327,5
2328,7
2329,23
2330,1
2331,16
2332,7
2333,5
2334,8
2335,19
2336,1
2337,17
2338,12
2339,19
2340,22
2341,15
2342,23
2343,4
2344,17
2345,1
2346,12
2347,27
2348,14
2349,7
2350,20
2351,23
2352,21
2353,7
2354,10
2355,17
2356,14
2357,0
2358,9
2359,11
2360,15
2361,25
2362,24
2363,17
2364,21
2365,18
2366,9
2367,7
2368,11
2369,9
2370,1
2371,4
2372,13
2373,14
2374,2
2375,1
2376,9
2377,11
2378,23
2379,18
2380,13
2381,27
2382,11
2383,18
2384,3
2385,28
2386,19
2387,4
2388,12
2389,12
2390,27
2391,3
2392,13
2393,27
2394,5
2395,7
2396,28
2397,27
2398,6
2399,6
2400,7
2401,28
2402,16
2403,2
2404,13
2405,3
2406,4
2407,24
2408,6
2409,25
2410,10
2411,25
2412,7
2413,27
2414,27
2415,15
2416,10
2417,10
2418,14
2419,29
2420,3
2421,2
2422,24
2423,21
2424,16
2425,28
2426,24
2427,10
2428,20
2429,25
2430,27
2431,12
2432,10
2433,24
2434,25
2435,3
2436,26
2437,26
2438,7
2439,10
2440,10
2441,23
2442,19
2443,10
2444,20
2445,26
2446,3
2447,5
2448,8
2449,0
2450,5
2451,4
2452,15
2453,23
2454,10
2455,17
2456,25
2457,1
2458,7
2459,1
2460,7
2461,24
2462,3
2463,12
2464,13
2465,21
2466,7
2467,22
2468,2
2469,1
2470,7
2471,16
2472,9
2473,23
2474,0
2475,26
2476,25
2477,13
2478,22
2479,29
2480,11
2481,10
2482,28
2483,14
2484,0
2485,23
2486,20
2487,15
2488,23
2489,7
2490,7
2491,15
2492,23
2493,22
2494,24
2495,0
2496,1
2497,18
2498,11
2499,7
2500,5
2501,22
2502,20
2503,29
2504,27
2505,25
2506,22
2507,11
2508,1
2509,6
2510,24
2511,25
2512,17
2513,26
2514,20
2515,17
2516,1
2517,19
2518,9
2519,18
2520,19
2521,6
2522,10
2523,18
2524,0
2525,20
2526,27
2527,22
2528,27
2529,6
2530,28
2531,12
2532,16
2533,3
2534,13
2535,20
2536,17
2537,28
2538,9
2539,24
2540,1
2541,24
2542,17
2543,25
2544,2
2545,5
2546,7
2547,14
2548,19
2549,29
2550,29
2551,3
2552,21
2553,19
2554,1
2555,27
2556,7
2557,19
2558,22
2559,13
2560,1
2561,7
2562,1
2563,21
2564,13
2565,18
2566,0
2567,21
2568,27
2569,9
2570,5
2571,27
2572,10
2573,24
2574,1
2575,7
2576,3
2577,4
2578,21
2579,2
2580,9
2581,6
2582,25
2583,14
2584,23
2585,11
2586,7
2587,20
2588,29
2589,15
2590,20
2591,7
2592,18
2593,7
2594,5
2595,21
2596,14
2597,20
2598,7
2599,3
2600,10
2601,26
2602,23
2603,19
2604,13
2605,7
2606,11
2607,1
2608,27
2609,0
2610,29
2611,1
2612,26
2613,18
2614,24
2615,8
2616,24
2617,3
2618,18
2619,27
2620,10
2621,22
2622,1
2623,17
2624,3
2625,27
2626,22
2627,14
2628,1
2629,14
2630,21
2631,11
2632,20
2633,2
2634,17
2635,21
2636,27
2637,8
2638,24
2639,3
2640,8
2641,26
2642,23
2643,28
2644,1
2645,23
2646,9
2647,24
2648,0
2649,9
2650,24
2651,2
2652,28
2653,22
2654,7
2655,24
2656,20
2657,17
2658,13
2659,25
2660,23
2661,29
2662,12
2663,13
2664,29
2665,11
2666,7
2667,24
2668,28
2669,12
2670,20
2671,23
2672,4
2673,20
2674,29
2675,13
2676,11
2677,7
2678,0
2679,0
2680,22
2681,20
2682,7
2683,8
2684,23
2685,10
2686,16
2687,10
2688,25
2689,4
2690,19
2691,0
2692,27
2693,13
2694,27
2695,11
2696,7
2697,27
2698,20
2699,15
2700,13
2701,15
2702,20
2703,22
2704,26
2705,29
2706,18
2707,16
2708,7
2709,10
2710,10
2711,17
2712,0
2713,20
2714,20
2715,2
2716,18
2717,24
2718,10
2719,28
2720,17
2721,12
2722,4
2723,10
2724,0
2725,17
2726,17
2727,3
2728,17
2729,10
2730,22
2731,10
2732,18
2733,18
2734,13
2735,24
2736,23
2737,1
2738,2
2739,8
2740,22
2741,6
2742,23
2743,24
2744,22
2745,0
2746,17
2747,16
2748,7
2749,23
2750,10
2751,9
2752,3
2753,14
2754,3
2755,9
2756,8
2757,12
2758,27
2759,9
2760,0
2761,18
2762,17
2763,9
2764,2
2765,27
2766,20
2767,18
2768,28
2769,3
2770,7
2771,0
2772,17
2773,2
2774,10
2775,23
2776,21
2777,0
2778,7
2779,26
2780,2
2781,27
2782,27
2783,20
2784,3
2785,17
2786,1
2787,9
2788,27
2789,25
2790,0
2791,0
2792,7
2793,29
2794,23
2795,9
2796,1
2797,17
2798,2
2799,23
2800,8
2801,6
2802,24
2803,23
2804,10
2805,9
2806,20
2807,18
2808,2
2809,3
2810,18
2811,11
2812,16
2813,4
2814,15
2815,13
2816,23
2817,11
2818,9
2819,24
2820,29
2821,18
2822,9
2823,19
2824,17
2825,3
2826,29
2827,3
2828,7
2829,14
2830,20
2831,11
2832,7
2833,7
2834,22
2835,0
2836,2
2837,7
2838,26
2839,26
2840,2
2841,11
2842,23
2843,4
2844,0
2845,19
2846,19
2847,26
2848,4
2849,18
2850,14
2851,0
2852,27
2853,16
2854,8
2855,24
2856,1
2857,17
2858,16
2859,2
2860,0
2861,11
2862,18
2863,10
2864,20
2865,16
2866,25
2867,18
2868,16
2869,24
2870,15
2871,2
2872,10
2873,24
2874,9
2875,13
2876,0
2877,11
2878,26
2879,0
2880,8
2881,2
2882,18
2883,18
2884,7
2885,15
2886,14
2887,24
2888,19
2889,27
2890,26
2891,24
2892,9
2893,17
2894,27
2895,9
2896,16
2897,26
2898,20
2899,18
2900,13
2901,20
2902,7
2903,6
2904,17
2905,17
2906,7
2907,3
2908,20
2909,6
2910,14
2911,2
2912,23
2913,18
2914,5
2915,19
2916,25
2917,7
2918,26
2919,17
2920,9
2921,7
2922,5
2923,9
2924,5
2925,29
2926,10
2927,13
2928,12
2929,4
2930,0
2931,15
2932,13
2933,10
2934,27
2935,9
2936,23
2937,21
2938,6
2939,21
2940,19
2941,17
2942,25
2943,13
2944,6
2945,0
2946,23
2947,2
2948,17
2949,20
2950,2
2951,23
2952,28
2953,18
2954,0
2955,25
2956,10
2957,7
2958,6
2959,24
2960,7
2961,12
2962,29
2963,15
2964,3
2965,10
2966,13
2967,0
2968,23
2969,23
2970,24
2971,22
2972,2
2973,2
2974,17
2975,19
2976,6
2977,18
2978,9
2979,20
2980,20
2981,15
2982,11
2983,7
2984,0
2985,7
2986,23
2987,20
2988,2
2989,12
2990,13
2991,19
2992,20
2993,12
2994,2
2995,0
2996,27
2997,9
